Product_Name,Stock_Quantity,Inventory_Value,Sales_Volume,Discount_Revenue,Best_Seller
Arborio Rice,95.0,427.5,60.0,243.0,False
Plum,20.0,77.0,61.0,211.365,False
Sushi Rice,19.0,81.7,58.0,224.45999999999998,False
Arabica Coffee,74.0,1554.0,83.0,1568.7,False
Pear,61.0,274.5,24.0,97.2,False
Sourdough Bread,34.0,136.0,28.0,100.8,False
Pear,29.0,130.5,31.0,125.55,False
Heavy Cream,14.0,58.800000000000004,28.0,105.84,False
White Rice,20.0,36.0,62.0,100.44000000000001,False
Cauliflower,40.0,128.0,21.0,60.480000000000004,False
Canola Oil,91.0,209.29999999999998,43.0,89.00999999999999,False
Avocado Oil,99.0,990.0,94.0,846.0,False
Bread Flour,34.0,51.0,49.0,66.15,False
Gouda Cheese,100.0,700.0,20.0,126.0,False
Black Rice,79.0,474.0,26.0,140.4,False
Greek Yogurt,62.0,186.0,50.0,135.0,False
Tuna,25.0,450.0,36.0,583.2,False
Buttermilk,47.0,117.5,48.0,108.0,False
Orange,15.0,45.0,56.0,151.20000000000002,False
Pomegranate,19.0,114.0,59.0,318.6,False
Tuna,58.0,1044.0,25.0,405.0,False
Sour Cream,11.0,44.0,84.0,302.40000000000003,False
Rice Flour,99.0,198.0,36.0,64.8,False
Long Grain Rice,26.0,39.0,76.0,102.60000000000001,False
Bell Pepper,70.0,315.0,23.0,93.15,False
Bell Pepper,50.0,225.0,69.0,279.45,False
Pineapple,55.0,192.5,81.0,255.15,False
Cod,31.0,248.0,41.0,295.2,False
Green Tea,63.0,504.0,93.0,669.6,False
Sardines,73.0,438.0,22.0,118.8,False
Sourdough Bread,12.0,48.0,75.0,270.0,False
Short Grain Rice,53.0,159.0,44.0,118.8,False
Powdered Sugar,68.0,170.0,69.0,155.25,False
Swiss Cheese,80.0,648.0,54.0,393.65999999999997,False
Tuna,92.0,1656.0,40.0,648.0,False
Cucumber,31.0,55.800000000000004,91.0,147.42000000000002,False
Eggplant,31.0,93.0,46.0,124.2,False
Garlic,76.0,532.0,52.0,327.6,False
Vegetable Oil,57.0,114.0,89.0,160.20000000000002,False
Whipped Cream,92.0,368.0,43.0,154.8,False
Cheddar Cheese,88.0,792.0,79.0,639.9,False
Coconut,99.0,495.0,41.0,184.5,False
Egg (Turkey),44.0,110.0,51.0,114.75,False
Herbal Tea,48.0,1488.0,70.0,1953.0,False
Sesame Oil,27.0,175.5,29.0,169.65,False
Black Rice,34.0,209.10000000000002,90.0,498.15000000000003,False
Orange,41.0,123.0,88.0,237.6,False
Black Tea,56.0,280.0,52.0,234.0,False
Asparagus,22.0,110.0,98.0,441.0,False
Palm Oil,40.0,72.0,71.0,115.02,False
Swiss Cheese,50.0,400.0,42.0,302.40000000000003,False
Mango,89.0,427.2,46.0,198.72,False
Egg (Turkey),76.0,190.0,69.0,155.25,False
Whole Wheat Flour,67.0,184.25,30.0,74.25,False
Robusta Coffee,62.0,620.0,62.0,558.0,False
Watermelon,75.0,225.0,90.0,243.0,False
Green Coffee,75.0,937.5,33.0,371.25,False
Cream,29.0,72.5,64.0,144.0,False
Oatmeal Biscuit,34.0,170.0,77.0,346.5,False
Green Tea,15.0,120.0,60.0,432.0,False
Anchovies,88.0,880.0,98.0,882.0,False
Cheddar Cheese,40.0,360.0,40.0,324.0,False
Avocado Oil,10.0,100.0,24.0,216.0,False
Arabica Coffee,21.0,441.0,20.0,378.0,False
Trout,75.0,900.0,89.0,961.2,False
Cod,56.0,448.0,99.0,712.8000000000001,False
Rye Bread,69.0,207.0,98.0,264.6,False
Basmati Rice,56.0,252.0,69.0,279.45,False
White Sugar,24.0,48.0,20.0,36.0,False
Sourdough Bread,30.0,135.0,32.0,129.6,False
White Tea,36.0,900.0,35.0,787.5,False
White Bread,93.0,232.5,76.0,171.0,False
Mozzarella Cheese,96.0,672.0,72.0,453.6,False
Peanut Oil,60.0,240.0,94.0,338.40000000000003,False
Gouda Cheese,97.0,679.0,43.0,270.90000000000003,False
Chocolate Biscuit,11.0,55.0,88.0,396.0,False
Pomegranate,14.0,84.0,86.0,464.40000000000003,False
Sunflower Oil,88.0,220.0,25.0,56.25,False
Jasmine Rice,24.0,114.0,35.0,149.625,False
Haddock,93.0,837.0,78.0,631.8000000000001,False
Black Rice,68.0,408.0,37.0,199.8,False
Rye Bread,28.0,78.39999999999999,31.0,78.12,False
Lime,21.0,42.0,43.0,77.4,False
Pomegranate,92.0,552.0,32.0,172.8,False
Robusta Coffee,68.0,680.0,39.0,351.0,False
Multigrain Bread,46.0,161.0,68.0,214.20000000000002,False
Cucumber,47.0,82.25,49.0,77.175,False
Olive Oil,52.0,312.0,100.0,540.0,False
Mushrooms,51.0,306.0,52.0,280.8,False
Egg (Goose),14.0,35.0,59.0,132.75,False
Greek Yogurt,62.0,3172.54,92.0,4236.876,False
Peach,40.0,160.0,70.0,252.0,False
White Tea,50.0,1275.0,29.0,665.5500000000001,False
Sushi Rice,77.0,327.25,42.0,160.65,False
Strawberries,31.0,182.9,46.0,244.26000000000005,False
Mushrooms,35.0,227.5,88.0,514.8000000000001,False
Broccoli,31.0,124.0,69.0,248.4,False
White Bread,56.0,140.0,56.0,126.0,False
Greek Yogurt,90.0,270.0,70.0,189.0,False
Canola Oil,79.0,181.7,92.0,190.44,False
Lime,29.0,58.0,81.0,145.8,False
Canola Oil,46.0,105.8,47.0,97.28999999999999,False
Blueberries,42.0,420.0,37.0,333.0,False
Mozzarella Cheese,16.0,115.2,56.0,362.88,False
Tuna,89.0,1602.0,76.0,1231.2,False
White Tea,20.0,500.0,73.0,1642.5,False
Black Coffee,37.0,555.0,94.0,1269.0,False
Bread Flour,97.0,145.5,35.0,47.25,False
Feta Cheese,98.0,686.0,92.0,579.6,False
Kiwi,37.0,222.0,47.0,253.8,False
Digestive Biscuit,97.0,388.0,57.0,205.20000000000002,False
Arabica Coffee,97.0,1940.0,74.0,1332.0,False
Lemon,90.0,225.0,71.0,159.75,False
Arabica Coffee,46.0,920.0,59.0,1062.0,False
Broccoli,40.0,160.0,86.0,309.6,False
Kale,77.0,308.0,48.0,172.8,False
Bread Flour,62.0,93.0,32.0,43.2,False
Herbal Tea,59.0,1770.0,69.0,1863.0,False
Blueberries,23.0,230.0,40.0,360.0,False
Digestive Biscuit,39.0,156.0,98.0,352.8,False
Gouda Cheese,68.0,476.0,53.0,333.90000000000003,False
Almond Flour,75.0,712.5,43.0,367.65000000000003,False
Chocolate Biscuit,96.0,480.0,45.0,202.5,False
Haddock,17.0,153.0,100.0,810.0,False
Egg (Duck),23.0,23.0,84.0,75.60000000000001,False
Peach,15.0,60.0,37.0,133.20000000000002,False
Mackerel,71.0,532.5,52.0,351.0,False
Egg (Goose),97.0,242.5,33.0,74.25,False
Zucchini,29.0,72.5,53.0,119.25,False
Bell Pepper,46.0,211.6,96.0,397.44,False
Cheese,76.0,722.0,60.0,513.0,False
Zucchini,59.0,147.5,54.0,121.5,False
Orange,92.0,285.2,79.0,220.41,False
Kiwi,28.0,168.0,70.0,378.0,False
Coconut,19.0,95.0,96.0,432.0,False
Butter,85.0,255.0,45.0,121.5,False
Bread Flour,57.0,85.5,53.0,71.55,False
Broccoli,95.0,380.0,52.0,187.20000000000002,False
Sushi Rice,84.0,378.0,39.0,157.95000000000002,False
Rice Flour,31.0,62.0,38.0,68.4,False
Pear,41.0,184.5,57.0,230.85,False
Feta Cheese,97.0,679.0,95.0,598.5,False
Milk,43.0,43.0,84.0,75.60000000000001,False
Palm Oil,74.0,133.20000000000002,31.0,50.220000000000006,False
Bread Flour,70.0,105.0,27.0,36.45,False
Cheese,69.0,634.8,28.0,231.83999999999997,False
Carrot,67.0,100.5,67.0,90.45,False
Short Grain Rice,18.0,54.0,61.0,164.70000000000002,False
Arabica Coffee,22.0,462.0,30.0,567.0,False
Grapes,88.0,484.0,93.0,460.35,False
Tilapia,78.0,546.0,63.0,396.90000000000003,False
Olive Oil,83.0,498.0,47.0,253.8,False
Robusta Coffee,42.0,441.0,34.0,321.3,False
Peas,49.0,147.0,82.0,221.4,False
Brown Rice,17.0,42.5,45.0,101.25,False
Buttermilk,52.0,124.8,21.0,45.36,False
Mushrooms,79.0,474.0,55.0,297.0,False
Palm Oil,35.0,63.0,62.0,100.44000000000001,False
Cucumber,76.0,136.8,22.0,35.64,False
Swiss Cheese,93.0,744.0,93.0,669.6,False
Halibut,40.0,800.0,39.0,702.0,False
Trout,19.0,218.5,96.0,993.6,False
Vegetable Oil,70.0,140.0,100.0,180.0,False
Digestive Biscuit,90.0,360.0,63.0,226.8,False
Digestive Biscuit,77.0,308.0,62.0,223.20000000000002,False
Apricot,38.0,190.0,33.0,148.5,False
Tilapia,93.0,651.0,72.0,453.6,False
Evaporated Milk,23.0,46.0,63.0,113.4,False
Green Tea,51.0,387.59999999999997,96.0,656.64,False
Heavy Cream,57.0,228.0,23.0,82.8,False
Papaya,59.0,265.5,63.0,255.15,False
Blueberries,89.0,890.0,79.0,711.0,False
Blueberries,53.0,530.0,55.0,495.0,False
Plum,11.0,42.9,40.0,140.4,False
Yogurt,59.0,103.25,92.0,144.9,False
Onion,34.0,68.0,90.0,162.0,False
Tuna,25.0,450.0,31.0,502.2,False
Anchovies,81.0,810.0,95.0,855.0,False
Apple,81.0,283.5,42.0,132.3,False
Watermelon,71.0,213.0,81.0,218.70000000000002,False
Cauliflower,52.0,130.0,56.0,126.0,False
Greek Yogurt,26.0,78.0,25.0,67.5,False
Haddock,84.0,756.0,60.0,486.0,False
Blueberries,28.0,280.0,48.0,432.0,False
Strawberries,94.0,564.0,40.0,216.0,False
Kiwi,47.0,282.0,70.0,378.0,False
Coconut Sugar,20.0,100.0,71.0,319.5,False
Tomato,84.0,210.0,86.0,193.5,False
Cheese,100.0,900.0,88.0,712.8000000000001,False
Milk,74.0,74.0,24.0,21.6,False
Green Coffee,27.0,324.0,88.0,950.4,False
Eggplant,91.0,273.0,42.0,113.4,False
Grapes,82.0,451.0,39.0,193.05,False
Bread Flour,84.0,126.0,83.0,112.05,False
Halibut,18.0,360.0,57.0,1026.0,False
Sourdough Bread,12.0,54.0,75.0,303.75,False
Black Rice,85.0,552.5,95.0,555.75,False
Butter Biscuit,33.0,198.0,20.0,108.0,False
Tilapia,59.0,413.0,57.0,359.1,False
Grapes,22.0,121.0,34.0,168.3,False
Gouda Cheese,67.0,469.0,73.0,459.90000000000003,False
Cheese,78.0,702.0,60.0,486.0,False
Lemon,72.0,176.4,25.0,55.12500000000001,False
Heavy Cream,63.0,252.0,21.0,75.60000000000001,False
White Bread,30.0,75.0,97.0,218.25,False
Arabica Coffee,36.0,720.0,91.0,1638.0,False
Grapes,88.0,484.0,57.0,282.15000000000003,False
Banana,95.0,5112.9,87.0,4214.106000000001,False
Broccoli,30.0,120.0,61.0,219.6,False
Green Beans,31.0,62.0,71.0,127.8,False
Cod,16.0,128.0,81.0,583.2,False
White Sugar,14.0,28.0,39.0,70.2,False
Tomato,44.0,110.0,82.0,184.5,False
Long Grain Rice,69.0,103.5,34.0,45.9,False
Long Grain Rice,71.0,106.5,66.0,89.10000000000001,False
Carrot,92.0,147.20000000000002,30.0,43.2,False
Peanut Oil,49.0,196.0,45.0,162.0,False
Pomegranate,52.0,312.0,38.0,205.20000000000002,False
Egg (Turkey),56.0,140.0,82.0,184.5,False
Strawberries,16.0,97.6,50.0,274.5,False
Zucchini,52.0,130.0,36.0,81.0,False
Trout,91.0,1046.5,81.0,838.35,False
Mango,58.0,272.6,85.0,359.55,False
Halibut,47.0,940.0,61.0,1098.0,False
Rye Bread,50.0,150.0,70.0,189.0,False
Sour Cream,43.0,172.0,59.0,212.4,False
Cheddar Cheese,68.0,605.2,79.0,632.7900000000001,False
Egg (Turkey),19.0,47.5,66.0,148.5,False
Swiss Cheese,70.0,560.0,71.0,511.2,False
Eggplant,97.0,291.0,29.0,78.3,False
Sunflower Oil,87.0,217.5,83.0,186.75,False
White Tea,58.0,1450.0,85.0,1912.5,False
Coconut,16.0,80.0,21.0,94.5,False
Pineapple,65.0,227.5,25.0,78.75,False
Basmati Rice,15.0,67.5,68.0,275.40000000000003,False
Bell Pepper,75.0,337.5,26.0,105.3,False
Vanilla Biscuit,80.0,440.0,63.0,311.85,False
Orange,84.0,239.4,48.0,123.12000000000002,False
Eggplant,17.0,51.0,49.0,132.3,False
Evaporated Milk,64.0,121.6,85.0,145.35,False
Whipped Cream,76.0,304.0,65.0,234.0,False
Sesame Oil,77.0,500.5,29.0,169.65,False
Cream,18.0,45.0,78.0,175.5,False
Coconut Sugar,51.0,255.0,21.0,94.5,False
Asparagus,68.0,340.0,84.0,378.0,False
Wild Rice,46.0,460.0,63.0,567.0,False
Long Grain Rice,98.0,147.0,30.0,40.5,False
Onion,50.0,100.0,30.0,54.0,False
Salmon,88.0,1320.0,61.0,823.5,False
Potato,26.0,31.2,64.0,69.12,False
Green Coffee,43.0,516.0,88.0,950.4,False
Powdered Sugar,46.0,115.0,54.0,121.5,False
Cauliflower,19.0,46.550000000000004,70.0,154.35,False
Kale,61.0,244.0,76.0,273.6,False
Garlic,43.0,301.0,95.0,598.5,False
Green Tea,80.0,680.0,81.0,619.65,False
Green Tea,34.0,272.0,97.0,698.4,False
Green Tea,88.0,704.0,78.0,561.6,False
Cottage Cheese,89.0,445.0,94.0,423.0,False
Wild Rice,26.0,260.0,40.0,360.0,False
Pear,26.0,117.0,92.0,372.6,False
Peach,37.0,148.0,93.0,334.8,False
Yogurt,76.0,133.0,62.0,97.65,False
Feta Cheese,80.0,560.0,64.0,403.2,False
Sweet Potato,100.0,200.0,98.0,176.4,False
Butter,21.0,65.10000000000001,64.0,178.56,False
Coconut Oil,33.0,165.0,60.0,270.0,False
Apple,43.0,150.5,39.0,122.85000000000001,False
Mushrooms,34.0,210.8,58.0,323.64000000000004,False
Mackerel,82.0,615.0,66.0,445.5,False
Whole Wheat Bread,17.0,59.5,93.0,292.95,False
Sushi Rice,36.0,171.0,73.0,312.075,False
Cod,65.0,520.0,56.0,403.2,False
Papaya,45.0,202.5,35.0,141.75,False
Egg (Goose),35.0,87.5,95.0,213.75,False
Bread Flour,96.0,144.0,81.0,109.35000000000001,False
Coconut,56.0,280.0,42.0,189.0,False
Ricotta Cheese,49.0,294.0,38.0,205.20000000000002,False
Raw Sugar,100.0,150.0,76.0,102.60000000000001,False
Haddock,30.0,270.0,99.0,801.9,False
Papaya,20.0,90.0,35.0,141.75,False
Sesame Oil,85.0,552.5,46.0,269.1,False
Green Beans,86.0,180.6,98.0,185.22000000000003,False
Sourdough Bread,65.0,260.0,100.0,360.0,False
Cottage Cheese,67.0,335.0,35.0,157.5,False
Ricotta Cheese,88.0,528.0,23.0,124.2,False
Robusta Coffee,14.0,140.0,32.0,288.0,False
Tilapia,85.0,569.5,54.0,325.62,False
Feta Cheese,74.0,518.0,21.0,132.3,False
Cheddar Cheese,21.0,189.0,69.0,558.9,False
Butter Biscuit,22.0,132.0,47.0,253.8,False
Ricotta Cheese,91.0,546.0,50.0,270.0,False
Multigrain Bread,85.0,297.5,30.0,94.5,False
Peas,12.0,36.0,46.0,124.2,False
Pomegranate,43.0,258.0,78.0,421.2,False
Yogurt,92.0,161.0,50.0,78.75,False
Watermelon,23.0,69.0,92.0,248.4,False
Egg (Duck),77.0,77.0,58.0,52.2,False
Sweet Potato,65.0,130.0,71.0,127.8,False
Banana,82.0,1255.42,77.0,1060.9830000000002,False
Swiss Cheese,20.0,160.0,50.0,360.0,False
Cheddar Cheese,31.0,279.0,63.0,510.3,False
Butter,36.0,104.39999999999999,26.0,67.86,False
Black Tea,59.0,295.0,45.0,202.5,False
Long Grain Rice,11.0,16.5,48.0,64.8,False
Black Coffee,24.0,372.0,80.0,1116.0,False
Haddock,75.0,675.0,49.0,396.90000000000003,False
Black Coffee,11.0,165.0,89.0,1201.5,False
Anchovies,60.0,600.0,34.0,306.0,False
Lemon,91.0,218.4,38.0,82.08,False
Egg (Goose),43.0,107.5,48.0,108.0,False
Bread Flour,25.0,37.5,31.0,41.85,False
Parmesan Cheese,96.0,1132.8000000000002,78.0,828.3600000000001,False
Mackerel,30.0,225.0,80.0,540.0,False
Arborio Rice,56.0,252.0,61.0,247.05,False
Whole Wheat Bread,91.0,318.5,74.0,233.1,False
White Sugar,27.0,54.0,57.0,102.60000000000001,False
Buttermilk,28.0,68.60000000000001,76.0,167.58,False
Sour Cream,92.0,368.0,23.0,82.8,False
Tuna,37.0,666.0,27.0,437.40000000000003,False
Powdered Sugar,28.0,70.0,82.0,184.5,False
Tilapia,30.0,210.0,48.0,302.40000000000003,False
Arabica Coffee,98.0,1960.0,39.0,702.0,False
Lemon,65.0,162.5,89.0,200.25,False
Rice Flour,42.0,84.0,35.0,63.0,False
Lemon,63.0,157.5,33.0,74.25,False
Broccoli,85.0,340.0,85.0,306.0,False
Egg (Duck),44.0,44.0,96.0,86.4,False
Plum,26.0,104.0,47.0,169.20000000000002,False
Coconut Sugar,49.0,245.0,93.0,418.5,False
Pomegranate,59.0,354.0,47.0,253.8,False
Raw Sugar,19.0,28.5,39.0,52.65,False
Eggplant,47.0,141.0,39.0,105.3,False
Grapes,98.0,539.0,59.0,292.05,False
Watermelon,51.0,153.0,23.0,62.1,False
Anchovies,100.0,1000.0,54.0,486.0,False
Yogurt,55.0,93.5,62.0,94.86,False
Whipped Cream,14.0,56.0,90.0,324.0,False
Egg (Quail),29.0,23.200000000000003,50.0,36.0,False
Chocolate Biscuit,100.0,500.0,47.0,211.5,False
Ricotta Cheese,49.0,294.0,70.0,378.0,False
Vegetable Oil,75.0,150.0,79.0,142.20000000000002,False
Heavy Cream,82.0,336.2,69.0,254.60999999999999,False
Cottage Cheese,68.0,326.4,90.0,388.8,False
Corn Oil,70.0,175.0,34.0,76.5,False
Salmon,49.0,735.0,96.0,1296.0,False
Mackerel,89.0,667.5,48.0,324.0,False
Cheese,88.0,792.0,56.0,453.6,False
Green Tea,39.0,312.0,28.0,201.6,False
Cauliflower,87.0,217.5,47.0,105.75,False
Oatmeal Biscuit,93.0,465.0,76.0,342.0,False
Egg (Turkey),23.0,55.199999999999996,81.0,174.96,False
Vanilla Biscuit,94.0,517.0,74.0,366.3,False
Digestive Biscuit,38.0,152.0,72.0,259.2,False
Evaporated Milk,11.0,22.0,48.0,86.4,False
White Tea,60.0,1518.0,43.0,979.1100000000001,False
Avocado Oil,50.0,500.0,27.0,243.0,False
Egg (Goose),90.0,225.0,51.0,114.75,False
Arborio Rice,86.0,387.0,22.0,89.10000000000001,False
Cauliflower,86.0,215.0,30.0,67.5,False
Almond Flour,54.0,513.0,60.0,513.0,False
Watermelon,27.0,81.0,70.0,189.0,False
Rye Bread,50.0,150.0,83.0,224.1,False
Onion,68.0,136.0,37.0,66.60000000000001,False
Sourdough Bread,22.0,92.4,62.0,234.36000000000004,False
Cheese,50.0,459.99999999999994,60.0,496.8,False
Bell Pepper,26.0,114.4,73.0,289.08000000000004,False
White Tea,62.0,1550.0,89.0,2002.5,False
Broccoli,79.0,316.0,67.0,241.20000000000002,False
Peach,73.0,292.0,75.0,270.0,False
Carrot,18.0,26.099999999999998,44.0,57.42,False
Kale,79.0,316.0,80.0,288.0,False
Arabica Coffee,23.0,460.0,31.0,558.0,False
Milk,18.0,18.0,73.0,65.7,False
Sunflower Oil,24.0,60.0,91.0,204.75,False
Watermelon,53.0,159.0,24.0,64.8,False
Yogurt,85.0,148.75,49.0,77.175,False
Sesame Oil,15.0,97.5,49.0,286.65000000000003,False
Anchovies,66.0,660.0,27.0,243.0,False
Corn Oil,17.0,42.5,23.0,51.75,False
Grapes,13.0,71.5,42.0,207.9,False
Digestive Biscuit,34.0,136.0,78.0,280.8,False
Swiss Cheese,85.0,680.0,68.0,489.6,False
Cabbage,12.0,12.0,25.0,22.5,False
Oatmeal Biscuit,82.0,410.0,21.0,94.5,False
Sourdough Bread,71.0,284.0,58.0,208.8,False
Mozzarella Cheese,58.0,406.0,62.0,390.6,False
Rice Flour,15.0,30.0,90.0,162.0,False
Pineapple,68.0,238.0,25.0,78.75,False
White Sugar,13.0,26.0,38.0,68.4,False
Sesame Oil,45.0,292.5,86.0,503.1,False
Egg (Goose),40.0,98.0,76.0,167.58,False
Black Coffee,62.0,961.0,34.0,474.3,False
Peanut Oil,79.0,316.0,46.0,165.6,False
Peas,75.0,225.0,96.0,259.2,False
Almond Flour,76.0,722.0,24.0,205.20000000000002,False
Canola Oil,96.0,220.79999999999998,61.0,126.26999999999998,False
Canola Oil,69.0,158.7,79.0,163.53,False
Butter,48.0,144.0,95.0,256.5,False
Cream,82.0,196.79999999999998,48.0,103.67999999999999,False
Zucchini,43.0,107.5,22.0,49.5,False
Green Coffee,90.0,1080.0,81.0,874.8000000000001,False
Milk,13.0,11.700000000000001,46.0,37.26,False
Cabbage,62.0,62.0,34.0,30.6,False
Coconut Sugar,17.0,85.0,76.0,342.0,False
Sesame Oil,100.0,650.0,77.0,450.45,False
All-Purpose Flour,54.0,94.5,77.0,121.275,False
Whipped Cream,98.0,401.79999999999995,89.0,328.40999999999997,False
Herbal Tea,20.0,610.0,46.0,1262.7,False
Haddock,43.0,387.0,66.0,534.6,False
Green Coffee,29.0,348.0,28.0,302.40000000000003,False
Grapes,37.0,203.5,34.0,168.3,False
Cheddar Cheese,85.0,756.5,57.0,456.57,False
Basmati Rice,26.0,114.4,54.0,213.84000000000003,False
White Tea,91.0,2275.0,63.0,1417.5,False
Ricotta Cheese,50.0,310.0,88.0,491.04,False
Trout,98.0,1176.0,62.0,669.6,False
Egg (Duck),37.0,37.0,90.0,81.0,False
White Bread,78.0,195.0,89.0,200.25,False
Cauliflower,48.0,122.39999999999999,52.0,119.34,False
